best_uci,collapse_best_bits,collapse_deep_alt_bits,collapse_greedy_bits,collapse_key_bits,collapse_random_bits,deep_alt_uci,greedy_uci,key_uci,kind,local_cost_best,local_cost_deep_alt,local_cost_greedy,local_cost_key,local_cost_random,p_win_base,p_win_best,p_win_deep_alt,p_win_greedy,p_win_key,p_win_random,potential_bits,puzzle_id,random_uci,rating,specificity_js_bits,themes,useful_shift_best,useful_shift_deep_alt,useful_shift_greedy,useful_shift_key,useful_shift_random
,,-0.22473014665082092,-0.0673688204115277,-0.23773611772976144,-0.2257265375346469,f6g4,f6g4,e5h2,sacrifice,,0.0,0.0,1.0,0.0,0.5,,0.25,0.28125,0.3125,0.09375,1.875,05IZx,e5d6,1826,0.01265315764439489,advantage attraction clearance kingsideAttack long opening sacrifice,,-0.25,-0.21875,-0.1875,-0.40625
,,-0.4872151275242076,-0.31385542820127954,0.3392916204924523,1.2452696994281525,b4c3,b4c3,c6d4,sacrifice,,0.0,0.0,-2.0,-3.0,0.5625,,0.15625,0.28125,0.65625,0.0625,1.7802244225937902,047oD,e4f3,1804,0.23408885265461343,advantage fork middlegame pin sacrifice veryLong,,-0.40625,-0.28125,0.09375,-0.5
,,0.8598106599311084,1.1643293723724357,0.14546943850167482,1.6992840955380735,e4f6,e4f6,d2c3,sacrifice,,-3.0,-3.0,-3.0,0.0,0.46875,,0.09375,0.0625,0.5625,0.0,1.6992840955380735,04R0B,g2f1,2097,0.24486645510277538,advantage middlegame pin sacrifice short,,-0.375,-0.40625,0.09375,-0.46875
,,0.30076191117960294,0.19674897827231108,0.9604591963010854,-0.1504431481249986,b6f6,b6f6,f4h6,sacrifice,,-1.0,-1.0,0.0,0.0,0.6875,,0.125,0.28125,0.9375,0.15625,1.3602492629180993,07Ivz,f4e5,2347,0.595593020912462,crushing endgame quietMove sacrifice veryLong,,-0.5625,-0.40625,0.25,-0.53125
,,-2.246970111616323,-2.1287451922921394,0.0,-1.7164015396241123,c6a6,c6a6,d1d6,sacrifice,,1.0,1.0,-2.0,-9.0,1.0,,0.21875,0.125,1.0,0.125,-0.0,06FKc,c6c3,1883,0.5862624674779826,mate mateIn2 middlegame sacrifice short,,-0.78125,-0.875,0.0,-0.875
,,0.16461599403367178,-0.04931058775998576,0.8290946567708328,-0.10518155833297671,c2c4,d2e3,f4f5,sacrifice,,0.0,0.0,0.0,0.0,0.59375,,0.5625,0.46875,0.78125,0.4375,1.7164015396241123,06n2c,b3b4,1955,0.06275467036620008,advancedPawn crushing endgame long pawnEndgame sacrifice,,-0.03125,-0.125,0.1875,-0.15625
,,-0.6239308174982579,-0.570642309391586,0.040177647815935025,0.9010799922420191,f4h2,f4h2,h8h1,sacrifice,,0.0,0.0,-5.0,-9.0,0.6875,,0.21875,0.34375,0.625,0.03125,1.300870058859033,07AUs,b7b6,2011,0.1540809234159773,crushing deflection exposedKing kingsideAttack long middlegame sacrifice,,-0.46875,-0.34375,-0.0625,-0.65625
,,-1.014097655573916,-1.1359768596329824,0.0,-0.4488644887230294,h6h5,h6h5,h6f8,sacrifice,,0.0,0.0,-4.0,-9.0,1.0,,0.0,0.0625,1.0,0.09375,-0.0,084QE,c4f7,1906,0.9999999999971148,kingsideAttack long mate mateIn3 middlegame sacrifice,,-1.0,-0.9375,0.0,-0.90625
,,-1.6149917740667208,-1.8825874753050804,0.0,-0.20062232431271465,a5b5,a5b5,a5c3,sacrifice,,0.0,0.0,-6.0,-9.0,1.0,,0.59375,0.40625,1.0,0.03125,-0.0,06OET,h8g8,1918,0.2408895361678649,mate mateIn2 middlegame queensideAttack sacrifice short,,-0.40625,-0.59375,0.0,-0.96875
,,0.030413118945753492,-0.12049067553269732,0.16900522732663736,1.595502922017137,c8e8,c8d8,c8c1,sacrifice,,0.0,0.0,0.0,-5.0,0.34375,,0.28125,0.28125,0.4375,0.0,1.7961252463298516,07Hgf,c8c4,2187,0.05462044943053327,crushing middlegame quietMove sacrifice short,,-0.0625,-0.0625,0.09375,-0.34375
,,-1.040717778400202,-1.205935168331544,-0.069499226849977,-0.42983267409629156,d8e6,b3c4,e7f8,sacrifice,,0.0,3.0,-4.0,0.0,0.875,,0.21875,0.21875,0.84375,0.0625,0.6685644431995964,05CIO,e1c1,2261,0.3167598901080494,attraction crushing fork long master middlegame pin sacrifice,,-0.65625,-0.65625,-0.03125,-0.8125
,,-1.8707727753663166,-1.5660957387332757,0.0,-0.13666774230429923,d7e6,d7e6,f7g7,sacrifice,,0.0,0.0,-4.0,-9.0,0.96875,,0.40625,0.5625,0.96875,0.0625,0.20062232431271465,09IzA,c4c5,1973,0.32721071444792094,dovetailMate endgame mate mateIn2 sacrifice short,,-0.5625,-0.40625,0.0,-0.90625
,,-0.07971329279067696,0.23197947130423224,0.6901204074720741,-0.01825232877765881,f6g4,f6g4,d6h2,sacrifice,,0.0,0.0,-2.0,-3.0,0.4375,,0.375,0.28125,0.5,0.28125,2.024402629071872,05USr,d8e7,1805,0.11029272024600169,advantage attraction kingsideAttack opening sacrifice short,,-0.0625,-0.15625,0.0625,-0.15625
,,-1.6654328359334567,-1.334282221599798,0.0,-0.9308927290103626,g2d5,g2d5,a8b8,sacrifice,,-3.0,-3.0,-6.0,-3.0,1.0,,0.53125,0.4375,1.0,0.125,-0.0,0A9Zd,b6d4,1806,0.28697009280352975,attraction mate mateIn2 middlegame operaMate pillsburysMate queensideAttack sacrifice short,,-0.46875,-0.5625,0.0,-0.875
,,-1.3252317300909384,-1.6992840955380735,0.0,-1.3050416913014387,h7h8,h7h8,e5d7,sacrifice,,0.0,0.0,-3.0,0.0,1.0,,0.40625,0.46875,1.0,0.25,-0.0,08SXD,c2a4,2219,0.3901926093884429,mate mateIn2 middlegame sacrifice short,,-0.59375,-0.53125,0.0,-0.75
,,-0.7051254008844254,-1.0828340887316104,-0.8597662177183003,0.6449742087569881,h4g4,h4g4,g8g2,sacrifice,,0.0,0.0,-4.0,-9.0,0.875,,0.125,0.21875,0.65625,0.0,0.6449742087569881,077SA,d7e8,2088,0.31770524699762037,attraction crushing kingsideAttack middlegame sacrifice short,,-0.75,-0.65625,-0.21875,-0.875
,,-1.1345809548839212,-1.5016144718101818,0.0,-1.2575318729867573,h8h3,h8h3,h2h1,sacrifice,,0.0,0.0,-9.0,0.0,1.0,,0.71875,0.625,1.0,0.6875,-0.0,0AHmy,h2h6,1967,0.1572990741455707,mate mateIn2 middlegame sacrifice short,,-0.28125,-0.375,0.0,-0.3125
,,-0.5480759851654187,-0.9102911126896263,0.7798241360582753,0.2674958502475091,d3f4,d3f4,g8g2,sacrifice,,-5.0,-5.0,-4.0,-3.0,0.71875,,0.25,0.3125,0.875,0.03125,1.3233885792578717,05Vzs,g8h8,1925,0.34970896787891914,advantage attraction fork long master middlegame sacrifice,,-0.46875,-0.40625,0.15625,-0.6875
,,-0.12423586782483675,0.02341693966678915,-0.1659819807332772,0.846346945486464,c1f4,c1f4,d1g4,sacrifice,,1.0,1.0,-3.0,-3.0,0.5,,0.09375,0.0625,0.46875,0.03125,1.6858203810934291,0542a,e1f1,2009,0.14572131354336493,crushing opening sacrifice short,,-0.40625,-0.4375,-0.03125,-0.46875
,,0.16392502415311916,0.21290340600959157,0.2989936404522,1.0286543929964167,h6h7,h6h7,c8f8,sacrifice,,-1.0,-1.0,-2.0,-8.0,0.5625,,0.25,0.3125,0.5625,0.125,1.7667180630459902,09G02,c8b8,2118,0.09821924570956882,advancedPawn crushing endgame long promotion sacrifice,,-0.3125,-0.25,0.0,-0.4375
,,-0.11099325198334009,0.19221466601442128,-0.04292354623649941,0.6257214870720076,h4e7,h4e7,e2e6,sacrifice,,0.0,0.0,-2.0,0.0,0.5,,0.125,0.09375,0.46875,0.03125,1.8744996115311405,05kaj,g2g4,1994,0.14524202419173604,advantage fork middlegame sacrifice veryLong,,-0.375,-0.40625,-0.03125,-0.46875
,,-0.1274590096774617,-0.2717923214713527,-0.06842364555674885,-0.02220696110712872,g8h7,g8h7,c4f4,sacrifice,,0.0,0.0,0.0,-3.0,0.1875,,0.25,0.09375,0.34375,0.0625,1.5084321011224375,04tY2,c4e4,2028,0.08221225569066475,crushing defensiveMove endgame long sacrifice,,0.0625,-0.09375,0.15625,-0.125
,,-1.5237516322372207,-1.6654328359334567,0.0,-0.20062232431271465,d6f4,d6f4,g4h2,sacrifice,,0.0,0.0,-3.0,-9.0,1.0,,0.28125,0.3125,1.0,0.03125,-0.0,09Xh7,f8b8,1805,0.51358895036648,clearance mate mateIn2 middlegame sacrifice short,,-0.71875,-0.6875,0.0,-0.96875
,,-0.7158255021937237,-0.7538422830129412,0.32321445440955954,-0.32659765557391607,b2b3,b2b3,h6g7,sacrifice,,0.0,0.0,-2.0,-9.0,0.75,,0.46875,0.5,0.84375,0.125,1.186278124459133,08HOd,g3b3,2023,0.15982311627491252,crushing endgame long pin sacrifice,,-0.28125,-0.25,0.09375,-0.625
,,-1.1385317645287825,-0.9785500308174151,0.133923681688923,-0.9475614760484614,g6e4,g6e4,e8e4,sacrifice,,0.0,0.0,-2.0,0.0,0.78125,,0.34375,0.34375,0.84375,0.25,1.0594873517384964,07Gpo,a7a6,2313,0.21039984110832788,crushing defensiveMove middlegame sacrifice short,,-0.4375,-0.4375,0.0625,-0.53125
,,0.020286598947789614,0.4479014238097827,0.1929248111987103,1.3202002346838932,g5f5,g5f5,e2b2,sacrifice,,0.0,0.0,-4.0,-9.0,0.40625,,0.28125,0.28125,0.34375,0.0,1.855154957849531,07TO9,g5h4,1861,0.02015246793703889,attraction crushing endgame master sacrifice short,,-0.125,-0.125,-0.0625,-0.40625
,,0.7769734356069651,0.7769734356069651,-0.08609023444260833,0.7769734356069651,c8d8,c8d8,e8e6,sacrifice,,-1.0,-1.0,-2.0,-1.0,0.84375,,0.0,0.0,0.84375,0.0,0.7769734356069651,0AGUY,c8b8,1880,0.8989842822036335,crushing middlegame sacrifice short,,-0.84375,-0.84375,0.0,-0.84375
,,-1.1876283939362393,-0.9088404482794106,-0.2859185202533745,-0.09308946129258533,f7f5,f7f5,d4g4,sacrifice,,0.0,0.0,-2.0,-5.0,0.875,,0.34375,0.5625,0.8125,0.125,0.6449742087569881,08ODH,d4f4,2091,0.17804995085321745,advantage fork long middlegame sacrifice,,-0.53125,-0.3125,-0.0625,-0.75
,,-2.174886625190374,-2.1831573285181993,0.0,-2.222288192678739,c4d3,c4d3,d1d8,sacrifice,,0.0,0.0,0.0,0.0,1.0,,0.1875,0.25,1.0,0.15625,-0.0,09UOO,h4f4,2003,0.6263832733325942,attraction endgame long mate mateIn3 sacrifice,,-0.8125,-0.75,0.0,-0.84375
,,-0.7884520221916879,-0.8086102272032382,-0.26531953111478324,0.2763234012934951,e6e7,e6e7,d6e5,sacrifice,,0.0,0.0,-3.0,-3.0,0.75,,0.5,0.4375,0.75,0.0625,0.8112781244591328,07Oac,d6b4,2340,0.10130848793185768,advancedPawn crushing endgame master promotion sacrifice veryLong,,-0.25,-0.3125,0.0,-0.6875
,,-0.416939653941069,-0.4523566290249066,0.972906499250584,-0.6358859520757265,e3c5,f1d1,d3c3,sacrifice,,0.0,0.0,-2.0,0.0,0.65625,,0.5,0.34375,0.90625,0.125,1.5078612224162218,06com,f1b1,1962,0.17594653891808595,crushing long middlegame sacrifice,,-0.15625,-0.3125,0.25,-0.53125
,,-0.10584383847330936,0.04468975858217372,0.10642562640701048,0.5312691478674572,e2f3,e2f3,d2d5,sacrifice,,0.0,0.0,0.0,0.0,0.53125,,0.15625,0.0625,0.5,0.03125,1.6672460075004396,0889m,e2f2,2255,0.2505357191190831,crushing endgame fork sacrifice veryLong,,-0.375,-0.46875,-0.03125,-0.5
,,0.09631390637800208,0.46573663230163453,0.49244766268517637,1.6152139176303333,f4e5,f4e5,f4g4,sacrifice,,0.0,0.0,-2.0,-9.0,0.53125,,0.09375,0.09375,0.71875,0.03125,1.815836241943048,080T4,h2h4,1851,0.4393577463230368,crushing master masterVsMaster middlegame sacrifice short,,-0.4375,-0.4375,0.1875,-0.5
,,-0.26786428962532804,-0.32833517817936997,0.4791031948088491,0.5773038840501963,e4f5,e4f5,c3d5,sacrifice,,0.0,0.0,-3.0,0.0,0.59375,,0.3125,0.375,0.71875,0.125,1.7399917740667208,07tRI,a1a2,2179,0.18653940908038602,advantage fork long middlegame sacrifice,,-0.28125,-0.21875,0.125,-0.46875
