Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[pair_F] {"steps": 145408, "elapsed_s": 161.6, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.35, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 147456, "elapsed_s": 164.2, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.3, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 149504, "elapsed_s": 166.2, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.45, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 151552, "elapsed_s": 168.6, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 153600, "elapsed_s": 171.0, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 155648, "elapsed_s": 173.2, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 157696, "elapsed_s": 175.5, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 159744, "elapsed_s": 177.9, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.65, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 161792, "elapsed_s": 180.7, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 163840, "elapsed_s": 183.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 165888, "elapsed_s": 186.2, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
