Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[pair_C] {"steps": 163840, "elapsed_s": 97.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 13.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 165888, "elapsed_s": 98.9, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 15.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 167936, "elapsed_s": 100.1, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 14.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 169984, "elapsed_s": 101.5, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 15.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 172032, "elapsed_s": 102.7, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 12.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 174080, "elapsed_s": 104.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 10.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 176128, "elapsed_s": 105.2, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 11.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 178176, "elapsed_s": 106.5, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 9.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 180224, "elapsed_s": 107.7, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 9.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 182272, "elapsed_s": 108.9, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 8.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 184320, "elapsed_s": 110.2, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 8.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 186368, "elapsed_s": 111.4, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 7.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 188416, "elapsed_s": 112.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 190464, "elapsed_s": 113.8, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 192512, "elapsed_s": 115.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 194560, "elapsed_s": 116.3, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 196608, "elapsed_s": 117.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 198656, "elapsed_s": 118.8, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 200704, "elapsed_s": 120.1, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 202752, "elapsed_s": 121.3, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 204800, "elapsed_s": 122.5, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 206848, "elapsed_s": 123.7, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 208896, "elapsed_s": 124.9, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 210944, "elapsed_s": 126.1, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 212992, "elapsed_s": 127.3, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 215040, "elapsed_s": 128.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 217088, "elapsed_s": 129.8, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 219136, "elapsed_s": 131.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 221184, "elapsed_s": 132.2, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 223232, "elapsed_s": 133.4, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 225280, "elapsed_s": 134.5, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 227328, "elapsed_s": 135.7, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 229376, "elapsed_s": 137.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 231424, "elapsed_s": 138.3, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 233472, "elapsed_s": 139.5, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 8.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 235520, "elapsed_s": 140.7, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 8.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 237568, "elapsed_s": 142.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 8.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 239616, "elapsed_s": 143.2, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 10.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 241664, "elapsed_s": 144.4, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 9.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 243712, "elapsed_s": 145.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 8.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 245760, "elapsed_s": 146.8, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 247808, "elapsed_s": 148.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0}
