regime,t,utility,guidance,stability,nondecomposable,rep_x,rep_y,p_selfish,p_direct_team,p_trigger_success,p_noise,collapse_kl,collapse_burst,representation_jump
ordinary_gradual,23.0,0.7,0.75,0.85,0.25,0.12044303797468356,0.44032911392405066,0.1830379746835443,0.43924050632911393,0.1888607594936709,0.1888607594936709,0.12198317921002806,0.009951656562160155,0.00830392289192097
ordinary_gradual,24.0,0.7,0.75,0.85,0.25,0.11481012658227847,0.44643037974683536,0.180126582278481,0.44746835443037974,0.1862025316455696,0.1862025316455696,0.13233197410981112,0.010348794899783062,0.00830392289192088
ordinary_gradual,25.0,0.7,0.75,0.85,0.25,0.10917721518987342,0.4525316455696202,0.17721518987341772,0.45569620253164556,0.18354430379746836,0.18354430379746836,0.1430764394106097,0.010744465300798589,0.008303922891920982
ordinary_gradual,26.0,0.7,0.75,0.85,0.25,0.10354430379746836,0.45863291139240503,0.17430379746835445,0.46392405063291137,0.1808860759493671,0.1808860759493671,0.15421533500745,0.011138895596840281,0.00830392289192094
ordinary_gradual,27.0,0.7,0.75,0.85,0.25,0.09791139240506327,0.46473417721518984,0.17139240506329112,0.4721518987341772,0.17822784810126582,0.17822784810126582,0.16574764451463733,0.011532309507187338,0.00830392289192096
ordinary_gradual,28.0,0.7,0.75,0.85,0.25,0.09227848101265822,0.47083544303797464,0.16848101265822785,0.48037974683544304,0.17556962025316455,0.17556962025316455,0.1776725719397721,0.011924927425134763,0.00830392289192094
ordinary_gradual,29.0,0.7,0.75,0.85,0.25,0.08664556962025317,0.47693670886075956,0.16556962025316457,0.4886075949367089,0.1729113924050633,0.1729113924050633,0.1899895391165306,0.012316967176758509,0.008303922891921013
ordinary_gradual,30.0,0.7,0.75,0.85,0.25,0.0810126582278481,0.4830379746835443,0.16265822784810127,0.4968354430379747,0.17025316455696202,0.17025316455696202,0.20269818387527994,0.012708644758749332,0.00830392289192091
ordinary_gradual,31.0,0.7,0.75,0.85,0.25,0.07537974683544303,0.4891392405063291,0.15974683544303797,0.5050632911392405,0.16759493670886078,0.16759493670886078,0.21579835893693536,0.013100175061655422,0.00830392289192095
ordinary_gradual,32.0,0.7,0.75,0.85,0.25,0.06974683544303799,0.495240506329114,0.1568354430379747,0.5132911392405064,0.1649367088607595,0.1649367088607595,0.2292901315215981,0.013491772584662748,0.008303922891920973
ordinary_gradual,33.0,0.7,0.75,0.85,0.25,0.06411392405063293,0.5013417721518987,0.1539240506329114,0.5215189873417722,0.16227848101265824,0.16227848101265824,0.24317378366952003,0.013883652147921921,0.008303922891920858
ordinary_gradual,34.0,0.7,0.75,0.85,0.25,0.058481012658227874,0.5074430379746835,0.15101265822784812,0.529746835443038,0.15962025316455697,0.15962025316455697,0.25744981327791655,0.014276029608396523,0.00830392289192094
ordinary_gradual,35.0,0.7,0.75,0.85,0.25,0.0528481012658228,0.5135443037974684,0.14810126582278482,0.5379746835443038,0.15696202531645573,0.15696202531645573,0.2721189358632003,0.014669122585283745,0.008303922891921032
ordinary_gradual,36.0,0.7,0.75,0.85,0.25,0.047215189873417704,0.5196455696202532,0.14518987341772152,0.5462025316455696,0.15430379746835443,0.15430379746835443,0.28718208706442416,0.015063151201223868,0.00830392289192097
ordinary_gradual,37.0,0.7,0.75,0.85,0.25,0.04158227848101262,0.525746835443038,0.14227848101265822,0.5544303797468355,0.15164556962025316,0.15164556962025316,0.3026404259102028,0.01545833884577863,0.00830392289192096
ordinary_gradual,38.0,0.7,0.75,0.85,0.25,0.0359493670886076,0.5318481012658227,0.13936708860759495,0.5626582278481013,0.1489873417721519,0.1489873417721519,0.31849533887823855,0.01585491296803576,0.00830392289192083
