Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[pair_I] {"steps": 157696, "elapsed_s": 2229.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 159744, "elapsed_s": 2249.0, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 161792, "elapsed_s": 2253.6, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.6}
[pair_I] {"steps": 163840, "elapsed_s": 2257.8, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 3.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 165888, "elapsed_s": 2262.2, "asymmetric_advantages_sparse20": 7.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 4.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 167936, "elapsed_s": 2265.9, "asymmetric_advantages_sparse20": 8.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 4.0, "centre_pots_potter0_20": 0.8}
[pair_I] {"steps": 169984, "elapsed_s": 2269.0, "asymmetric_advantages_sparse20": 7.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 4.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 172032, "elapsed_s": 2272.2, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 4.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 174080, "elapsed_s": 2274.9, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 4.0, "centre_pots_potter0_20": 0.6}
[pair_I] {"steps": 176128, "elapsed_s": 2277.8, "asymmetric_advantages_sparse20": 9.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 4.0, "centre_pots_potter0_20": 0.6}
[pair_I] {"steps": 178176, "elapsed_s": 2280.8, "asymmetric_advantages_sparse20": 9.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.5}
[pair_I] {"steps": 180224, "elapsed_s": 2284.4, "asymmetric_advantages_sparse20": 10.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.5}
[pair_I] {"steps": 182272, "elapsed_s": 2287.3, "asymmetric_advantages_sparse20": 11.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.5}
[pair_I] {"steps": 184320, "elapsed_s": 2291.4, "asymmetric_advantages_sparse20": 9.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.5}
[pair_I] {"steps": 186368, "elapsed_s": 2295.9, "asymmetric_advantages_sparse20": 8.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.5}
[pair_I] {"steps": 188416, "elapsed_s": 2300.0, "asymmetric_advantages_sparse20": 8.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.5}
[pair_I] {"steps": 190464, "elapsed_s": 2302.0, "asymmetric_advantages_sparse20": 7.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.5}
[pair_I] {"steps": 192512, "elapsed_s": 2304.6, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.5}
[pair_I] {"steps": 194560, "elapsed_s": 2306.7, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.55}
[pair_I] {"steps": 196608, "elapsed_s": 2309.1, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.55}
[pair_I] {"steps": 198656, "elapsed_s": 2311.5, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 3.0, "centre_pots_potter0_20": 0.5}
[pair_I] {"steps": 200704, "elapsed_s": 2313.8, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.55}
[pair_I] {"steps": 202752, "elapsed_s": 2316.1, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.6}
[pair_I] {"steps": 204800, "elapsed_s": 2319.1, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 206848, "elapsed_s": 2321.6, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 208896, "elapsed_s": 2324.1, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.8}
[pair_I] {"steps": 210944, "elapsed_s": 2326.8, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 212992, "elapsed_s": 2329.6, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 215040, "elapsed_s": 2331.9, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 217088, "elapsed_s": 2334.4, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 219136, "elapsed_s": 2336.6, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 221184, "elapsed_s": 2338.8, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.6}
[pair_I] {"steps": 223232, "elapsed_s": 2341.5, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.6}
[pair_I] {"steps": 225280, "elapsed_s": 2343.9, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 227328, "elapsed_s": 2346.2, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 229376, "elapsed_s": 2348.5, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 231424, "elapsed_s": 2351.1, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 233472, "elapsed_s": 2353.8, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 235520, "elapsed_s": 2356.1, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 237568, "elapsed_s": 2358.5, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 239616, "elapsed_s": 2360.6, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 241664, "elapsed_s": 2362.9, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 243712, "elapsed_s": 2365.0, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 245760, "elapsed_s": 2367.1, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 247808, "elapsed_s": 2369.4, "asymmetric_advantages_sparse20": 9.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 249856, "elapsed_s": 2371.2, "asymmetric_advantages_sparse20": 10.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.8}
[pair_I] {"steps": 251904, "elapsed_s": 2373.9, "asymmetric_advantages_sparse20": 9.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.7}
