Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[cramped_room s8801] steps 311296 sparse20 33.0 potter0 0.5 (181.2s)
[cramped_room s8801] steps 313344 sparse20 33.0 potter0 0.45 (182.4s)
[cramped_room s8801] steps 315392 sparse20 30.0 potter0 0.5 (183.5s)
[cramped_room s8801] steps 317440 sparse20 29.0 potter0 0.55 (184.7s)
[cramped_room s8801] steps 319488 sparse20 30.0 potter0 0.6 (185.9s)
[cramped_room s8801] steps 321536 sparse20 30.0 potter0 0.5 (187.1s)
[cramped_room s8801] steps 323584 sparse20 36.0 potter0 0.4 (188.2s)
[cramped_room s8801] steps 325632 sparse20 38.0 potter0 0.4 (189.4s)
[cramped_room s8801] steps 327680 sparse20 39.0 potter0 0.4 (190.6s)
[cramped_room s8801] steps 329728 sparse20 35.0 potter0 0.4 (191.7s)
[cramped_room s8801] steps 331776 sparse20 30.0 potter0 0.5 (192.9s)
[cramped_room s8801] steps 333824 sparse20 27.0 potter0 0.55 (194.0s)
[cramped_room s8801] steps 335872 sparse20 26.0 potter0 0.45 (195.2s)
[cramped_room s8801] steps 337920 sparse20 26.0 potter0 0.45 (196.3s)
[cramped_room s8801] steps 339968 sparse20 29.0 potter0 0.45 (197.5s)
[cramped_room s8801] steps 342016 sparse20 34.0 potter0 0.55 (198.6s)
[cramped_room s8801] steps 344064 sparse20 37.0 potter0 0.6 (199.8s)
[cramped_room s8801] steps 346112 sparse20 45.0 potter0 0.5 (200.9s)
[cramped_room s8801] steps 348160 sparse20 45.0 potter0 0.45 (202.1s)
[cramped_room s8801] steps 350208 sparse20 45.0 potter0 0.35 (203.2s)
[cramped_room s8801] steps 352256 sparse20 44.0 potter0 0.35 (204.4s)
